COD_BASE;COD_VER_EXEC;COD_CUBE;DATA_EXEC;CUBE_START_TIME;CUBE_END_TIME;SELECT_TIME;WRITE_TIME;TOTAL_TIME;TUPLAS_GRAVADAS;VALORES_GRAVADOS;REGISTROS_SELECIONADOS
8;19;0002;2024-03-15 00:00;2025-01-06 08:37:19;2025-01-06 08:37:40;12,38;8,26;20,64;339425;3394250;6549341
8;19;0003;2024-03-15 00:00;2025-01-06 08:37:40;2025-01-06 08:38:18;21,98;14,66;36,64;856764;8567640;6549341
8;19;0000;2024-03-15 00:00;2025-01-06 08:37:05;2025-01-06 08:38:18;42,28;28,19;70,47;1237133;12371330;19648023
8;20;0001;2024-03-19 00:00;2025-01-06 08:38:20;2025-01-06 08:38:34;7,77;5,18;12,94;40936;409360;6561985
8;20;0002;2024-03-19 00:00;2025-01-06 08:38:34;2025-01-06 08:38:55;12,31;8,21;20,52;339304;3393040;6561985
8;20;0003;2024-03-19 00:00;2025-01-06 08:38:55;2025-01-06 08:39:33;22,05;14,70;36,76;856333;8563330;6561985
8;20;0000;2024-03-19 00:00;2025-01-06 08:38:20;2025-01-06 08:39:33;42,13;28,09;70,22;1236573;12365730;19685955
8;21;0001;2024-03-23 00:00;2025-01-06 08:39:35;2025-01-06 08:39:49;7,95;5,30;13,24;40929;409290;6574629
8;21;0002;2024-03-23 00:00;2025-01-06 08:39:49;2025-01-06 08:40:10;12,09;8,06;20,16;339171;3391710;6574629
8;21;0003;2024-03-23 00:00;2025-01-06 08:40:10;2025-01-06 08:40:47;21,65;14,44;36,09;855930;8559300;6574629
8;21;0000;2024-03-23 00:00;2025-01-06 08:39:35;2025-01-06 08:40:47;41,69;27,80;69,49;1236030;12360300;19723887
