COD_BASE,COD_VER_EXEC,COD_CUBE,DATA_EXEC,CUBE_START_TIME,CUBE_END_TIME,SELECT_TIME,WRITE_TIME,TOTAL_TIME,TUPLAS_GRAVADAS,VALORES_GRAVADOS,REGISTROS_SELECIONADOS
1,10,0000,2024-02-08 00:00,2025-02-05 02:29:20,2025-02-05 02:31:26,73.60,49.07,122.67,1242214,12422140,19306653
1,11,0001,2024-02-12 00:00,2025-02-05 02:31:27,2025-02-05 02:31:40,7.03,4.69,11.72,40985,409850,6448194
1,11,0002,2024-02-12 00:00,2025-02-05 02:31:40,2025-02-05 02:32:13,19.33,12.89,32.22,340504,3405040,6448194
1,11,0003,2024-02-12 00:00,2025-02-05 02:32:13,2025-02-05 02:33:40,51.47,34.32,85.79,860187,8601870,6448194
1,11,0000,2024-02-12 00:00,2025-02-05 02:31:27,2025-02-05 02:33:40,77.84,51.89,129.73,1241676,12416760,19344582
1,12,0001,2024-02-16 00:00,2025-02-05 02:33:41,2025-02-05 02:33:54,7.01,4.67,11.69,40978,409780,6460837
1,12,0002,2024-02-16 00:00,2025-02-05 02:33:54,2025-02-05 02:34:28,20.04,13.36,33.40,340384,3403840,6460837
1,12,0003,2024-02-16 00:00,2025-02-05 02:34:29,2025-02-05 02:35:57,52.86,35.24,88.10,859759,8597590,6460837
1,12,0000,2024-02-16 00:00,2025-02-05 02:33:41,2025-02-05 02:35:57,79.91,53.27,133.19,1241121,12411210,19382511
1,13,0001,2024-02-20 00:00,2025-02-05 02:35:59,2025-02-05 02:36:12,7.13,4.75,11.89,40967,409670,6473480
1,13,0002,2024-02-20 00:00,2025-02-05 02:36:12,2025-02-05 02:36:45,19.47,12.98,32.45,340247,3402470,6473480
1,13,0003,2024-02-20 00:00,2025-02-05 02:36:46,2025-02-05 02:38:20,56.27,37.51,93.78,859373,8593730,6473480
1,13,0000,2024-02-20 00:00,2025-02-05 02:35:59,2025-02-05 02:38:20,82.87,55.24,138.11,1240587,12405870,19420440
1,14,0001,2024-02-24 00:00,2025-02-05 02:38:22,2025-02-05 02:38:34,7.09,4.73,11.81,40963,409630,6486123
1,14,0002,2024-02-24 00:00,2025-02-05 02:38:34,2025-02-05 02:39:09,20.20,13.46,33.66,340115,3401150,6486123
1,14,0003,2024-02-24 00:00,2025-02-05 02:39:09,2025-02-05 02:40:48,58.68,39.12,97.79,858980,8589800,6486123
1,14,0000,2024-02-24 00:00,2025-02-05 02:38:22,2025-02-05 02:40:48,85.96,57.31,143.27,1240058,12400580,19458369
1,15,0001,2024-02-28 00:00,2025-02-05 02:40:49,2025-02-05 02:41:02,7.12,4.75,11.87,40959,409590,6498766
1,15,0002,2024-02-28 00:00,2025-02-05 02:41:02,2025-02-05 02:41:39,21.38,14.25,35.63,339988,3399880,6498766
1,15,0003,2024-02-28 00:00,2025-02-05 02:41:39,2025-02-05 02:43:23,61.85,41.23,103.08,858558,8585580,6498766
1,15,0000,2024-02-28 00:00,2025-02-05 02:40:49,2025-02-05 02:43:23,90.35,60.23,150.58,1239505,12395050,19496298
1,16,0001,2024-03-03 00:00,2025-02-05 02:43:24,2025-02-05 02:43:38,7.60,5.07,12.67,40952,409520,6511409
1,16,0002,2024-03-03 00:00,2025-02-05 02:43:38,2025-02-05 02:44:13,20.90,13.93,34.83,339863,3398630,6511409
1,16,0003,2024-03-03 00:00,2025-02-05 02:44:14,2025-02-05 02:46:01,63.86,42.57,106.43,858176,8581760,6511409
1,16,0000,2024-03-03 00:00,2025-02-05 02:43:24,2025-02-05 02:46:01,92.36,61.57,153.93,1238991,12389910,19534227
1,17,0001,2024-03-07 00:00,2025-02-05 02:46:03,2025-02-05 02:46:16,7.20,4.80,11.99,40942,409420,6524053
1,17,0002,2024-03-07 00:00,2025-02-05 02:46:16,2025-02-05 02:46:54,22.19,14.79,36.98,339733,3397330,6524053
1,17,0003,2024-03-07 00:00,2025-02-05 02:46:54,2025-02-05 02:48:42,64.22,42.81,107.03,857759,8577590,6524053
