COD_BASE,COD_VER_EXEC,COD_CUBE,DATA_EXEC,CUBE_START_TIME,CUBE_END_TIME,SELECT_TIME,WRITE_TIME,TOTAL_TIME,TUPLAS_GRAVADAS,VALORES_GRAVADOS,REGISTROS_SELECIONADOS
8,16,0001,2024-03-03 00:00,2025-02-05 17:06:30,2025-02-05 17:06:43,7.04,4.70,11.74,27129,271290,1517230
8,16,0002,2024-03-03 00:00,2025-02-05 17:06:43,2025-02-05 17:07:11,16.02,10.68,26.69,147359,1473590,1517230
8,16,0003,2024-03-03 00:00,2025-02-05 17:07:11,2025-02-05 17:07:57,26.83,17.89,44.71,303254,3032540,1517230
8,16,0000,2024-03-03 00:00,2025-02-05 17:06:30,2025-02-05 17:07:57,49.89,33.26,83.14,477742,4777420,4551690
8,17,0001,2024-03-07 00:00,2025-02-05 17:07:58,2025-02-05 17:08:12,7.56,5.04,12.59,27601,276010,1618376
8,17,0002,2024-03-07 00:00,2025-02-05 17:08:12,2025-02-05 17:08:42,17.07,11.38,28.46,152226,1522260,1618376
8,17,0003,2024-03-07 00:00,2025-02-05 17:08:42,2025-02-05 17:09:30,28.29,18.86,47.14,315729,3157290,1618376
8,17,0000,2024-03-07 00:00,2025-02-05 17:07:58,2025-02-05 17:09:30,52.92,35.28,88.19,495556,4955560,4855128
8,18,0001,2024-03-11 00:00,2025-02-05 17:09:31,2025-02-05 17:09:45,7.91,5.28,13.19,28046,280460,1719522
8,18,0002,2024-03-11 00:00,2025-02-05 17:09:45,2025-02-05 17:10:17,18.28,12.19,30.47,156903,1569030,1719522
8,18,0003,2024-03-11 00:00,2025-02-05 17:10:17,2025-02-05 17:11:09,29.96,19.97,49.93,327735,3277350,1719522
8,18,0000,2024-03-11 00:00,2025-02-05 17:09:31,2025-02-05 17:11:09,56.15,37.44,93.59,512684,5126840,5158566
8,19,0001,2024-03-15 00:00,2025-02-05 17:11:09,2025-02-05 17:11:24,8.35,5.57,13.92,28432,284320,1820668
8,19,0002,2024-03-15 00:00,2025-02-05 17:11:24,2025-02-05 17:11:58,18.91,12.61,31.52,161484,1614840,1820668
8,19,0003,2024-03-15 00:00,2025-02-05 17:11:58,2025-02-05 17:12:53,32.07,21.38,53.45,339580,3395800,1820668
8,19,0000,2024-03-15 00:00,2025-02-05 17:11:09,2025-02-05 17:12:53,59.33,39.56,98.89,529496,5294960,5462004
8,20,0001,2024-03-19 00:00,2025-02-05 17:12:53,2025-02-05 17:13:09,8.55,5.70,14.25,28850,288500,1921814
8,20,0002,2024-03-19 00:00,2025-02-05 17:13:09,2025-02-05 17:13:44,20.12,13.42,33.54,165951,1659510,1921814
8,20,0003,2024-03-19 00:00,2025-02-05 17:13:44,2025-02-05 17:14:41,33.61,22.41,56.01,351004,3510040,1921814
8,20,0000,2024-03-19 00:00,2025-02-05 17:12:53,2025-02-05 17:14:41,62.28,41.52,103.80,545805,5458050,5765442
8,21,0001,2024-03-23 00:00,2025-02-05 17:14:42,2025-02-05 17:14:58,8.79,5.86,14.65,29235,292350,2022960
8,21,0002,2024-03-23 00:00,2025-02-05 17:14:58,2025-02-05 17:15:34,20.94,13.96,34.89,170202,1702020,2022960
8,21,0003,2024-03-23 00:00,2025-02-05 17:15:34,2025-02-05 17:16:35,35.64,23.76,59.40,362231,3622310,2022960
8,21,0000,2024-03-23 00:00,2025-02-05 17:14:42,2025-02-05 17:16:35,65.37,43.58,108.95,561668,5616680,6068880
