Comparação;COD_VER_EXEC;U-Value;p-Value;Resultado;Mediana_1;Q1_1;Q3_1;IQR_1;Mediana_2;Q1_2;Q3_2;IQR_2
f>e;10.0;0.0;0.0001554001554001554;REJEITA H0;69.05;68.19999999999999;69.73249999999999;1.5324999999999989;130.99;129.89499999999998;132.985;3.090000000000032
f>e;11.0;0.0;0.0001554001554001554;REJEITA H0;69.27;68.5875;69.98249999999999;1.3949999999999818;136.49;135.855;139.175;3.3200000000000216
f>e;12.0;0.0;0.0001554001554001554;REJEITA H0;69.94;69.52;70.1675;0.647500000000008;139.81;137.425;142.14;4.714999999999975
f>e;13.0;0.0;0.0001554001554001554;REJEITA H0;69.095;68.1;70.07000000000001;1.970000000000013;146.9;141.475;149.44;7.965000000000003
f>e;14.0;0.0;0.0001554001554001554;REJEITA H0;69.455;68.4;70.39;1.9899999999999949;150.79;147.625;152.37;4.7450000000000045
f>e;15.0;0.0;0.0001554001554001554;REJEITA H0;69.95500000000001;68.4075;70.355;1.9475000000000051;156.94;152.765;160.955;8.190000000000026
f>e;16.0;0.0;0.0001554001554001554;REJEITA H0;70.22999999999999;69.73;70.7475;1.0174999999999983;158.21;156.01999999999998;161.51;5.490000000000009
f>e;17.0;0.0;0.0001554001554001554;REJEITA H0;69.97999999999999;69.4875;70.1825;0.6950000000000074;161.85;157.65;164.34;6.689999999999998
f>e;18.0;0.0;0.0001554001554001554;REJEITA H0;69.03;68.35;69.58500000000001;1.2350000000000136;161.03;158.315;164.335;6.02000000000001
f>e;19.0;0.0;0.0001554001554001554;REJEITA H0;69.995;69.50999999999999;70.63;1.1200000000000045;163.16;162.79000000000002;167.255;4.464999999999975
f>e;20.0;0.0;0.0001554001554001554;REJEITA H0;70.63;70.2425;71.22749999999999;0.9849999999999852;163.92;163.18;168.06;4.8799999999999955
f>e;21.0;0.0;0.0001554001554001554;REJEITA H0;70.64;70.13499999999999;71.0075;0.8725000000000023;170.08;169.02499999999998;173.16500000000002;4.140000000000043
