COD_REGIAO;COD_UF;COD_MUNICIPIO;COD_UFMUN
1;15;06138;1506138
1;15;06161;1506161
1;15;06187;1506187
1;15;06195;1506195
1;15;06203;1506203
1;15;06302;1506302
1;15;06351;1506351
1;15;06401;1506401
1;15;06500;1506500
1;15;06559;1506559
1;15;06583;1506583
1;15;06609;1506609
1;15;06708;1506708
1;15;06807;1506807
1;15;06906;1506906
1;15;07003;1507003
1;15;07102;1507102
1;15;07151;1507151
1;15;07201;1507201
1;15;07300;1507300
1;15;07409;1507409
1;15;07458;1507458
1;15;07466;1507466
1;15;07474;1507474
1;15;07508;1507508
1;15;07607;1507607
1;15;07706;1507706
1;15;07755;1507755
1;15;07805;1507805
1;15;07904;1507904
1;15;07953;1507953
1;15;07961;1507961
1;15;07979;1507979
1;15;08001;1508001
1;15;08035;1508035
1;15;08050;1508050
1;15;08084;1508084
1;15;08100;1508100
1;15;08126;1508126
1;15;08159;1508159
1;15;08209;1508209
1;15;08308;1508308
1;15;08357;1508357
1;15;08407;1508407
1;16;00105;1600105
1;16;00204;1600204
1;16;00212;1600212
1;16;00238;1600238
1;16;00253;1600253
1;16;00279;1600279
1;16;00303;1600303
1;16;00402;1600402
1;16;00501;1600501
1;16;00154;1600154
1;16;00535;1600535
1;16;00550;1600550
1;16;00600;1600600
1;16;00055;1600055
1;16;00709;1600709
1;16;00808;1600808
1;17;00251;1700251
1;17;00301;1700301
1;17;00350;1700350
1;17;00400;1700400
1;17;00707;1700707
1;17;01002;1701002
1;17;01051;1701051
1;17;01101;1701101
1;17;01309;1701309
1;17;01903;1701903
1;17;02000;1702000
1;17;02109;1702109
1;17;02158;1702158
1;17;02208;1702208
1;17;02307;1702307
1;17;02406;1702406
1;17;02554;1702554
1;17;02703;1702703
1;17;02901;1702901
1;17;03008;1703008
1;17;03057;1703057
1;17;03073;1703073
1;17;03107;1703107
1;17;03206;1703206
1;17;03305;1703305
1;17;03602;1703602
1;17;03701;1703701
1;17;03800;1703800
1;17;03826;1703826
1;17;03842;1703842
1;17;03867;1703867
1;17;03883;1703883
1;17;03891;1703891
1;17;03909;1703909
1;17;04105;1704105
1;17;05102;1705102
1;17;04600;1704600
1;17;05508;1705508
1;17;16703;1716703
1;17;05557;1705557
1;17;05607;1705607
1;17;06001;1706001
1;17;06100;1706100
1;17;06258;1706258
1;17;06506;1706506
1;17;07009;1707009
1;17;07108;1707108
1;17;07207;1707207
1;17;07306;1707306
1;17;07405;1707405
1;17;07553;1707553
1;17;07652;1707652
1;17;07702;1707702
1;17;08205;1708205
1;17;08304;1708304
1;17;09005;1709005
1;17;09302;1709302
1;17;09500;1709500
1;17;09807;1709807
1;17;10508;1710508
1;17;10706;1710706
1;17;10904;1710904
1;17;11100;1711100
1;17;11506;1711506
1;17;11803;1711803
1;17;11902;1711902
1;17;11951;1711951
1;17;12009;1712009
1;17;12157;1712157
1;17;12405;1712405
1;17;12454;1712454
1;17;12504;1712504
1;17;12702;1712702
1;17;12801;1712801
1;17;13205;1713205
1;17;13304;1713304
1;17;13601;1713601
1;17;13700;1713700
1;17;13957;1713957
1;17;14203;1714203
1;17;14302;1714302
1;17;14880;1714880
1;17;15002;1715002
1;17;15101;1715101
1;17;15150;1715150
1;17;15259;1715259
